NMec = 98495
T = 39
P = 6
Profits ignored
Solution time = 4.034e+02
Programing Tasks = 24
Terminal Cases = 7350
Task date  Profit    P
  0   63    1        0   
  0   64    1        1   
  1   9     1        2   
  1   24    1        3   
  2   47    1        4   
  4   21    1        5   
  6   18    1        -1  
  7   18    1        -1  
  10  22    1        2   
  13  21    1        -1  
  14  26    1        -1  
  15  23    1        -1  
  15  26    1        -1  
  15  29    1        -1  
  16  22    1        -1  
  18  27    1        -1  
  19  39    1        -1  
  22  35    1        5   
  23  28    1        2   
  23  41    1        -1  
  27  37    1        3   
  27  45    1        -1  
  29  47    1        2   
  30  40    1        -1  
  31  37    1        -1  
  32  45    1        -1  
  34  41    1        -1  
  35  45    1        -1  
  37  50    1        5   
  38  46    1        3   
  40  46    1        -1  
  40  53    1        -1  
  41  61    1        -1  
  43  54    1        -1  
  44  61    1        -1  
  48  63    1        2   
  50  55    1        3   
  54  63    1        4   
  56  62    1        3   
End
