NMec = 98495
T = 30
P = 7
Profits ignored
Solution time = 2.977e+00
Programing Tasks = 20
Terminal Cases = 5775
Task date  Profit    P
  1   10    1        0   
  1   13    1        -1  
  2   32    1        -1  
  4   17    1        -1  
  4   17    1        -1  
  4   18    1        -1  
  4   19    1        1   
  7   24    1        2   
  8   33    1        -1  
  9   14    1        3   
  10  19    1        4   
  11  13    1        0   
  11  15    1        5   
  11  18    1        6   
  12  30    1        -1  
  13  35    1        -1  
  17  19    1        0   
  17  21    1        3   
  17  23    1        5   
  20  38    1        -1  
  21  28    1        -1  
  22  29    1        0   
  22  36    1        1   
  23  41    1        3   
  25  33    1        2   
  25  42    1        4   
  26  42    1        5   
  28  38    1        6   
  33  40    1        0   
  35  42    1        2   
End
