NMec = 98495
T = 33
P = 5
Profits ignored
Solution time = 2.998e+00
Programing Tasks = 19
Terminal Cases = 4805
Task date  Profit    P
  0   64    1        -1  
  3   10    1        0   
  4   10    1        1   
  4   21    1        -1  
  5   20    1        -1  
  7   53    1        -1  
  8   23    1        2   
  10  25    1        -1  
  13  21    1        0   
  15  29    1        1   
  16  56    1        -1  
  18  32    1        3   
  19  29    1        4   
  22  27    1        0   
  22  43    1        -1  
  24  39    1        -1  
  24  40    1        -1  
  25  37    1        -1  
  25  42    1        2   
  28  39    1        0   
  30  38    1        1   
  31  47    1        -1  
  31  49    1        -1  
  31  52    1        -1  
  33  42    1        3   
  37  53    1        -1  
  37  54    1        4   
  41  49    1        0   
  42  53    1        1   
  43  45    1        2   
  46  57    1        2   
  47  60    1        3   
  54  61    1        0   
End
