NMec = 98495
T = 33
P = 7
Profits ignored
Solution time = 1.697e+01
Programing Tasks = 19
Terminal Cases = 269916
Task date  Profit    P
  1   5     1        0   
  1   12    1        1   
  1   22    1        2   
  1   47    1        3   
  2   20    1        4   
  3   18    1        5   
  4   12    1        6   
  4   13    1        -1  
  5   45    1        -1  
  7   23    1        0   
  7   26    1        -1  
  8   17    1        -1  
  8   24    1        -1  
  9   20    1        -1  
  10  26    1        -1  
  12  13    1        -1  
  12  38    1        -1  
  14  25    1        1   
  17  34    1        6   
  18  29    1        -1  
  19  47    1        5   
  20  39    1        -1  
  22  44    1        4   
  23  24    1        2   
  24  36    1        0   
  24  39    1        -1  
  25  40    1        2   
  27  37    1        1   
  27  40    1        -1  
  28  37    1        -1  
  31  44    1        -1  
  32  42    1        -1  
  40  41    1        0   
End
