NMec = 98495
T = 34
P = 1
Profits ignored
Solution time = 1.979e-02
Programing Tasks = 13
Terminal Cases = 576
Task date  Profit    P
  4   174   1        0   
  31  41    1        -1  
  37  44    1        -1  
  37  47    1        -1  
  39  53    1        -1  
  45  53    1        -1  
  53  80    1        -1  
  54  65    1        -1  
  61  82    1        -1  
  87  198   1        -1  
  99  333   1        -1  
  106 119   1        -1  
  109 119   1        -1  
  111 125   1        -1  
  153 163   1        -1  
  155 169   1        -1  
  162 165   1        -1  
  173 191   1        -1  
  185 262   1        0   
  194 203   1        -1  
  203 206   1        -1  
  214 226   1        -1  
  221 231   1        -1  
  225 237   1        -1  
  228 239   1        -1  
  243 251   1        -1  
  255 283   1        -1  
  258 281   1        -1  
  287 301   1        0   
  288 293   1        -1  
  291 305   1        -1  
  292 301   1        -1  
  292 320   1        -1  
  315 318   1        0   
End
