NMec = 98495
T = 29
P = 4
Profits ignored
Solution time = 4.135e-01
Programing Tasks = 19
Terminal Cases = 90
Task date  Profit    P
  1   10    1        0   
  3   24    1        1   
  4   11    1        2   
  5   11    1        3   
  10  29    1        -1  
  10  68    1        -1  
  13  31    1        0   
  15  23    1        2   
  15  66    1        3   
  17  31    1        -1  
  17  39    1        -1  
  25  45    1        1   
  26  31    1        2   
  32  36    1        0   
  36  42    1        2   
  38  54    1        0   
  39  41    1        -1  
  40  57    1        -1  
  43  64    1        2   
  44  56    1        -1  
  45  50    1        -1  
  49  62    1        1   
  49  65    1        -1  
  53  65    1        -1  
  53  69    1        -1  
  55  64    1        0   
  56  63    1        -1  
  56  72    1        -1  
  70  72    1        0   
End
