NMec = 98495
T = 27
P = 3
Profits ignored
Solution time = 3.474e-02
Programing Tasks = 16
Terminal Cases = 254
Task date  Profit    P
  3   12    1        0   
  4   14    1        1   
  4   86    1        2   
  7   16    1        -1  
  10  34    1        -1  
  14  18    1        0   
  14  26    1        -1  
  25  42    1        0   
  27  86    1        1   
  28  35    1        -1  
  30  44    1        -1  
  31  33    1        -1  
  31  84    1        -1  
  34  48    1        -1  
  36  86    1        -1  
  37  53    1        -1  
  39  43    1        -1  
  41  66    1        -1  
  42  43    1        -1  
  56  67    1        0   
  62  67    1        -1  
  65  75    1        -1  
  67  87    1        -1  
  70  75    1        0   
  74  78    1        -1  
  77  80    1        0   
  84  88    1        0   
End
