NMec = 98495
T = 28
P = 3
Profits ignored
Solution time = 2.995e-02
Programing Tasks = 14
Terminal Cases = 240
Task date  Profit    P
  1   19    1        -1  
  5   61    1        -1  
  7   25    1        -1  
  10  24    1        -1  
  12  19    1        0   
  13  23    1        1   
  17  38    1        -1  
  18  30    1        -1  
  18  35    1        2   
  19  83    1        -1  
  25  50    1        -1  
  28  42    1        0   
  29  39    1        1   
  39  44    1        2   
  41  51    1        1   
  41  59    1        -1  
  43  59    1        -1  
  44  58    1        0   
  46  68    1        -1  
  47  61    1        2   
  56  78    1        -1  
  57  65    1        1   
  60  72    1        0   
  62  78    1        -1  
  63  78    1        -1  
  65  87    1        2   
  69  83    1        1   
  76  90    1        0   
End
