NMec = 98495
T = 39
P = 5
Profits ignored
Solution time = 8.453e+01
Programing Tasks = 23
Terminal Cases = 8775
Task date  Profit    P
  0   77    1        -1  
  5   71    1        -1  
  7   16    1        -1  
  7   36    1        -1  
  8   16    1        -1  
  9   14    1        0   
  9   28    1        -1  
  10  19    1        1   
  10  64    1        -1  
  11  75    1        -1  
  12  28    1        2   
  13  18    1        3   
  14  34    1        4   
  18  35    1        0   
  23  31    1        1   
  23  39    1        -1  
  26  76    1        -1  
  30  43    1        -1  
  30  54    1        -1  
  31  40    1        2   
  31  47    1        -1  
  32  47    1        1   
  34  47    1        3   
  34  54    1        -1  
  36  45    1        0   
  37  39    1        4   
  40  54    1        4   
  43  57    1        -1  
  45  57    1        2   
  48  53    1        0   
  49  64    1        -1  
  50  56    1        1   
  53  68    1        3   
  54  64    1        0   
  56  73    1        4   
  58  67    1        1   
  62  71    1        2   
  65  76    1        0   
  71  77    1        1   
End
