NMec = 98495
T = 32
P = 1
Profits ignored
Solution time = 1.337e-02
Programing Tasks = 14
Terminal Cases = 288
Task date  Profit    P
  16  30    1        0   
  19  250   1        -1  
  21  44    1        -1  
  51  73    1        0   
  57  68    1        -1  
  62  69    1        -1  
  62  118   1        -1  
  69  300   1        -1  
  89  111   1        0   
  95  102   1        -1  
  106 113   1        -1  
  112 131   1        0   
  125 142   1        -1  
  134 141   1        0   
  139 147   1        -1  
  145 167   1        0   
  146 162   1        -1  
  153 169   1        -1  
  164 166   1        -1  
  168 182   1        0   
  177 185   1        -1  
  191 208   1        0   
  194 200   1        -1  
  194 206   1        -1  
  201 206   1        -1  
  218 231   1        0   
  220 229   1        -1  
  225 234   1        -1  
  251 264   1        0   
  259 275   1        -1  
  286 304   1        0   
  305 314   1        0   
End
