NMec = 98495
T = 31
P = 7
Profits ignored
Solution time = 8.713e+00
Programing Tasks = 21
Terminal Cases = 546
Task date  Profit    P
  0   11    1        -1  
  0   37    1        -1  
  1   9     1        0   
  2   14    1        1   
  2   24    1        -1  
  4   8     1        2   
  5   11    1        3   
  5   14    1        4   
  7   14    1        5   
  7   18    1        -1  
  7   21    1        -1  
  8   23    1        6   
  9   20    1        2   
  13  24    1        0   
  15  26    1        1   
  15  32    1        3   
  15  40    1        -1  
  16  21    1        4   
  17  31    1        5   
  18  35    1        -1  
  19  40    1        -1  
  23  44    1        -1  
  25  36    1        -1  
  26  30    1        0   
  26  41    1        2   
  28  42    1        1   
  30  40    1        4   
  30  44    1        6   
  31  41    1        0   
  34  40    1        3   
  34  44    1        5   
End
