NMec = 98495
T = 35
P = 1
Profits ignored
Solution time = 9.056e-02
Programing Tasks = 16
Terminal Cases = 90
Task date  Profit    P
  8   12    1        0   
  13  24    1        0   
  18  26    1        -1  
  21  32    1        -1  
  53  65    1        0   
  56  62    1        -1  
  59  69    1        -1  
  60  77    1        -1  
  62  85    1        -1  
  86  108   1        0   
  117 125   1        0   
  122 132   1        -1  
  122 136   1        -1  
  126 141   1        0   
  145 164   1        0   
  172 192   1        0   
  178 205   1        -1  
  214 220   1        0   
  231 234   1        0   
  248 265   1        0   
  255 269   1        -1  
  261 287   1        -1  
  264 268   1        -1  
  264 324   1        -1  
  268 278   1        0   
  287 291   1        0   
  290 301   1        -1  
  291 316   1        -1  
  297 308   1        0   
  306 312   1        -1  
  311 320   1        0   
  317 336   1        -1  
  323 336   1        0   
  326 337   1        -1  
  335 347   1        -1  
End
