NMec = 98495
T = 30
P = 1
Profits ignored
Solution time = 2.658e-03
Programing Tasks = 13
Terminal Cases = 96
Task date  Profit    P
  1   195   1        0   
  6   293   1        -1  
  18  38    1        -1  
  23  228   1        -1  
  27  42    1        -1  
  37  50    1        -1  
  46  57    1        -1  
  53  68    1        -1  
  57  70    1        -1  
  96  102   1        -1  
  98  111   1        -1  
  114 134   1        -1  
  133 138   1        -1  
  136 149   1        -1  
  140 154   1        -1  
  144 167   1        -1  
  152 161   1        -1  
  168 189   1        -1  
  172 188   1        -1  
  177 184   1        -1  
  177 185   1        -1  
  178 195   1        -1  
  187 194   1        -1  
  205 213   1        0   
  229 238   1        0   
  233 242   1        -1  
  233 247   1        -1  
  249 262   1        0   
  279 281   1        0   
  282 297   1        0   
End
