NMec = 98495
T = 35
P = 8
Profits ignored
Solution time = 9.442e+01
Programing Tasks = 22
Terminal Cases = 221894
Task date  Profit    P
  1   12    1        0   
  1   20    1        -1  
  1   21    1        -1  
  2   6     1        1   
  4   10    1        2   
  6   19    1        3   
  7   30    1        -1  
  8   12    1        1   
  9   11    1        4   
  10  16    1        5   
  10  32    1        -1  
  11  27    1        2   
  12  24    1        4   
  13  36    1        -1  
  15  23    1        0   
  15  30    1        1   
  17  21    1        5   
  17  30    1        6   
  18  20    1        7   
  20  32    1        -1  
  20  38    1        -1  
  21  36    1        -1  
  22  35    1        -1  
  23  37    1        -1  
  24  40    1        -1  
  25  34    1        -1  
  25  35    1        -1  
  25  42    1        0   
  27  33    1        3   
  27  34    1        4   
  27  39    1        5   
  27  43    1        7   
  31  43    1        1   
  32  33    1        2   
  32  37    1        6   
End
