NMec = 98495
T = 32
P = 4
Profits ignored
Solution time = 4.987e-01
Programing Tasks = 19
Terminal Cases = 169
Task date  Profit    P
  0   79    1        -1  
  2   19    1        -1  
  3   10    1        0   
  4   48    1        -1  
  4   77    1        -1  
  5   26    1        -1  
  7   18    1        1   
  8   76    1        -1  
  10  13    1        2   
  10  23    1        3   
  15  34    1        -1  
  16  36    1        -1  
  17  30    1        -1  
  19  46    1        -1  
  20  33    1        -1  
  21  39    1        -1  
  22  33    1        -1  
  24  36    1        0   
  25  27    1        1   
  25  27    1        2   
  25  40    1        3   
  29  32    1        1   
  29  43    1        2   
  37  40    1        0   
  40  45    1        1   
  43  62    1        0   
  44  45    1        2   
  46  51    1        1   
  54  75    1        1   
  55  62    1        2   
  58  70    1        3   
  65  76    1        0   
End
