NMec = 98495
T = 31
P = 6
Profits ignored
Solution time = 4.858e-01
Programing Tasks = 14
Terminal Cases = 74432
Task date  Profit    P
  2   39    1        0   
  6   10    1        1   
  6   22    1        2   
  7   25    1        3   
  8   18    1        4   
  9   24    1        5   
  9   29    1        -1  
  11  19    1        1   
  11  23    1        -1  
  11  29    1        -1  
  11  29    1        -1  
  12  37    1        -1  
  12  48    1        -1  
  14  34    1        -1  
  15  25    1        -1  
  16  23    1        -1  
  16  28    1        -1  
  17  31    1        -1  
  18  28    1        -1  
  19  27    1        4   
  19  35    1        -1  
  20  33    1        1   
  23  41    1        2   
  26  43    1        3   
  26  48    1        5   
  28  34    1        4   
  29  36    1        -1  
  29  43    1        -1  
  29  46    1        -1  
  31  40    1        -1  
  33  41    1        -1  
End
