NMec = 98495
T = 40
P = 5
Profits ignored
Solution time = 5.548e+02
Programing Tasks = 24
Terminal Cases = 16408
Task date  Profit    P
  0   3     1        0   
  0   18    1        1   
  3   28    1        -1  
  3   49    1        -1  
  4   17    1        0   
  5   47    1        -1  
  7   8     1        2   
  9   17    1        2   
  9   52    1        -1  
  13  16    1        3   
  15  32    1        -1  
  16  36    1        4   
  18  29    1        0   
  19  30    1        1   
  21  44    1        -1  
  23  36    1        2   
  24  33    1        3   
  24  40    1        -1  
  26  40    1        -1  
  30  41    1        -1  
  30  45    1        -1  
  31  52    1        0   
  36  50    1        1   
  39  47    1        2   
  39  48    1        3   
  40  43    1        4   
  44  62    1        -1  
  48  71    1        -1  
  49  60    1        -1  
  50  54    1        2   
  50  65    1        -1  
  52  71    1        -1  
  53  67    1        -1  
  55  70    1        0   
  56  62    1        1   
  56  71    1        2   
  57  65    1        3   
  58  77    1        4   
  67  72    1        1   
  71  77    1        0   
End
