NMec = 98495
T = 29
P = 6
Profits ignored
Solution time = 4.785e-01
Programing Tasks = 16
Terminal Cases = 23032
Task date  Profit    P
  0   43    1        0   
  2   14    1        1   
  3   21    1        2   
  5   19    1        3   
  5   24    1        4   
  6   13    1        5   
  6   30    1        -1  
  9   29    1        -1  
  10  21    1        -1  
  11  21    1        -1  
  11  21    1        -1  
  11  29    1        -1  
  13  26    1        -1  
  15  19    1        1   
  15  23    1        5   
  17  39    1        -1  
  19  37    1        -1  
  20  31    1        1   
  23  36    1        2   
  24  39    1        3   
  26  33    1        4   
  26  45    1        5   
  28  37    1        -1  
  29  36    1        -1  
  29  40    1        -1  
  31  45    1        -1  
  33  36    1        1   
  33  44    1        -1  
  45  46    1        0   
End
