NMec = 2020
T = 26
P = 3
Profits not ignored
Best Profit = 31039
Best Assigned = 2139855336
Solution time = 5.754e-02
Task date  Profit    P
  0   8     1538     0   
  1   8     1053     1   
  3   63    4909     2   
  6   14    1066     -1  
  8   26    2121     -1  
  9   25    972      0   
  10  27    2987     1   
  16  25    2247     -1  
  18  36    4056     -1  
  25  39    1821     -1  
  25  42    3720     -1  
  26  48    1227     0   
  28  33    912      1   
  33  44    1240     -1  
  36  45    998      1   
  47  66    2994     1   
  56  69    2513     0   
  56  75    1524     -1  
  57  76    2133     -1  
  58  84    4562     -1  
  61  69    1944     -1  
  65  80    3401     2   
  67  77    1372     1   
  78  82    1408     0   
  78  84    676      1   
  81  85    836      2   
End
