NMec = 2020
T = 24
P = 8
Profits not ignored
Best Profit = 26951
Best Assigned = 32634
Solution time = 7.251e-02
Task date  Profit    P
  0   18    1933     0   
  2   10    614      1   
  2   29    2825     2   
  3   4     177      3   
  3   24    1901     4   
  4   16    1889     5   
  4   25    3104     6   
  5   14    2695     3   
  5   19    2073     7   
  6   19    797      -1  
  6   26    1781     -1  
  6   27    4350     -1  
  6   29    2462     -1  
  7   23    3480     -1  
  7   26    1632     -1  
  8   17    711      -1  
  10  21    731      -1  
  11  23    1288     1   
  11  27    1139     -1  
  11  27    2052     -1  
  14  20    1104     -1  
  14  25    1629     -1  
  18  28    1976     3   
  19  28    1283     0   
End
