NMec = 2020
T = 32
P = 2
Profits not ignored
Best Profit = 39356
Best Assigned = 0
Solution time = 4.868e-01
Task date  Profit    P
  10  18    2114     0   
  18  30    2581     1   
  20  23    805      0   
  21  31    1840     -1  
  23  27    378      -1  
  23  156   19522    -1  
  25  63    5902     0   
  29  37    720      -1  
  39  50    1818     1   
  42  56    1313     -1  
  43  49    1450     -1  
  47  58    1166     -1  
  56  72    3078     1   
  60  72    1886     -1  
  64  82    1634     0   
  67  77    1285     -1  
  76  96    2283     1   
  76  98    4282     -1  
  78  101   4610     -1  
  82  83    245      -1  
  85  91    1580     0   
  87  100   3143     -1  
  89  98    824      -1  
  94  111   1068     0   
  101 111   3105     1   
  101 115   2183     -1  
  108 118   2094     -1  
  108 124   2715     -1  
  123 127   465      0   
  125 142   1563     1   
  138 144   897      0   
  151 156   840      0   
End
