NMec = 2020
T = 28
P = 4
Profits not ignored
Best Profit = 39724
Best Assigned = 0
Solution time = 5.767e-01
Task date  Profit    P
  2   28    2101     0   
  3   18    2100     1   
  5   21    2927     2   
  7   16    1192     3   
  7   43    4783     -1  
  9   25    3748     -1  
  18  38    3281     3   
  20  26    633      1   
  24  26    364      2   
  25  33    703      -1  
  27  37    691      1   
  28  38    1421     2   
  31  42    2403     0   
  32  39    2022     -1  
  34  46    1404     -1  
  34  53    3885     -1  
  39  59    4744     1   
  40  61    4898     2   
  44  47    975      0   
  44  64    1626     3   
  45  52    809      -1  
  47  58    2512     -1  
  48  67    2713     0   
  51  56    699      -1  
  52  58    979      -1  
  52  59    752      -1  
  60  68    1966     1   
  61  65    1196     -1  
End
