NMec = 2020
T = 35
P = 4
Profits not ignored
Best Profit = 44205
Best Assigned = -664165128
Solution time = 1.401e+00
Task date  Profit    P
  4   17    1572     0   
  4   19    1901     1   
  6   19    1915     2   
  9   21    1615     3   
  11  12    132      -1  
  12  28    3290     -1  
  13  24    1829     -1  
  13  34    2264     -1  
  13  41    2623     -1  
  14  17    894      -1  
  14  28    2095     -1  
  15  32    4718     -1  
  17  28    1002     -1  
  17  31    1693     -1  
  18  35    3494     0   
  18  83    13091    -1  
  19  40    3136     -1  
  20  29    2013     1   
  20  33    2542     2   
  20  39    3561     -1  
  21  31    1548     -1  
  21  36    3239     -1  
  22  36    2731     3   
  27  41    2603     -1  
  28  38    1170     -1  
  28  45    1768     -1  
  32  47    936      1   
  36  45    1416     0   
  38  46    796      2   
  42  47    1140     3   
  45  53    1269     -1  
  52  69    3371     0   
  57  67    2276     1   
  68  85    2619     1   
  70  77    1985     0   
End
