NMec = 2020
T = 35
P = 8
Profits not ignored
Best Profit = 48804
Best Assigned = 0
Solution time = 5.805e+01
Task date  Profit    P
  0   41    5503     0   
  1   8     1424     1   
  6   13    550      2   
  6   25    3417     3   
  6   37    5443     4   
  6   43    4957     5   
  7   16    1802     6   
  7   19    3043     7   
  8   21    2188     -1  
  8   28    2691     -1  
  9   10    221      1   
  9   29    2851     -1  
  11  15    874      1   
  12  27    2275     -1  
  13  19    1405     -1  
  14  20    807      2   
  14  33    2127     -1  
  15  37    5981     -1  
  16  26    2213     1   
  17  31    3386     6   
  17  36    5023     -1  
  19  37    2383     -1  
  20  34    1630     7   
  21  22    229      2   
  21  32    2380     -1  
  21  37    3252     -1  
  21  38    3220     -1  
  23  27    1210     2   
  24  30    1362     -1  
  25  43    1476     -1  
  26  30    1430     3   
  26  35    1972     -1  
  26  43    2249     -1  
  28  36    761      1   
  34  43    1679     2   
End
