NMec = 2020
T = 33
P = 2
Profits not ignored
Best Profit = 66141
Best Assigned = 0
Solution time = 2.042e-01
Task date  Profit    P
  2   14    1582     0   
  2   16    2786     1   
  4   13    925      -1  
  4   164   21403    -1  
  5   14    875      -1  
  11  17    1053     -1  
  13  15    395      -1  
  13  67    5779     -1  
  14  24    2227     -1  
  15  23    2510     0   
  18  162   40418    1   
  29  36    1756     0   
  35  41    468      -1  
  47  66    3060     0   
  57  68    1209     -1  
  61  72    2098     -1  
  69  85    1568     0   
  70  85    4009     -1  
  72  83    1369     -1  
  73  96    4381     -1  
  78  109   7122     -1  
  83  89    1777     -1  
  90  102   1791     0   
  94  108   1643     -1  
  105 119   3385     0   
  106 110   1113     -1  
  110 130   3900     -1  
  115 133   2891     -1  
  118 125   1156     -1  
  121 140   3948     0   
  123 137   2369     -1  
  129 143   1238     -1  
  143 150   896      0   
End
