NMec = 2020
T = 18
P = 7
Profits not ignored
Best Profit = 27881
Best Assigned = 32767
Solution time = 2.990e-03
Task date  Profit    P
  0   9     1943     0   
  1   7     614      1   
  1   16    2924     2   
  1   17    1865     3   
  1   17    2994     4   
  3   16    3178     5   
  3   16    1457     6   
  3   20    3628     -1  
  3   24    2188     -1  
  4   17    1944     -1  
  7   23    3208     -1  
  8   29    4226     1   
  11  16    740      0   
  12  19    1184     -1  
  13  17    946      -1  
  14  22    2120     -1  
  17  26    1137     0   
  18  26    1909     2   
End
