NMec = 2020
T = 18
P = 5
Profits not ignored
Best Profit = 21246
Best Assigned = 1736415839
Solution time = 2.444e-03
Task date  Profit    P
  0   17    1443     0   
  0   20    3229     1   
  2   30    2454     2   
  2   31    4193     3   
  3   16    2746     4   
  4   18    1812     -1  
  6   15    1693     -1  
  7   29    3582     -1  
  11  22    943      -1  
  13  18    731      -1  
  19  29    1514     0   
  20  23    495      4   
  20  28    1236     -1  
  21  34    2622     1   
  22  25    522      -1  
  23  34    1191     -1  
  29  30    115      4   
  30  31    197      0   
End
