NMec = 2020
T = 25
P = 6
Profits not ignored
Best Profit = 34897
Best Assigned = 0
Solution time = 9.555e-02
Task date  Profit    P
  1   11    1090     0   
  1   20    1671     1   
  2   10    1721     2   
  2   13    663      3   
  2   16    2937     4   
  2   20    2138     5   
  3   30    6300     -1  
  4   18    2156     -1  
  5   12    1009     -1  
  6   11    530      -1  
  8   18    2349     -1  
  8   30    4995     -1  
  11  31    4025     2   
  12  40    4295     0   
  17  37    3689     3   
  18  34    3312     4   
  18  37    2455     -1  
  20  28    1810     -1  
  22  33    3084     1   
  25  38    1467     5   
  26  37    902      -1  
  27  37    1953     -1  
  27  40    3251     -1  
  28  33    530      -1  
  29  35    654      -1  
End
