NMec = 2020
T = 29
P = 4
Profits not ignored
Best Profit = 39787
Best Assigned = 32517
Solution time = 2.590e-01
Task date  Profit    P
  0   9     1493     0   
  1   27    3722     1   
  4   22    3235     2   
  4   69    4905     3   
  7   28    3260     -1  
  8   11    630      -1  
  8   23    1697     -1  
  14  28    1596     0   
  16  36    5185     -1  
  17  23    1726     -1  
  19  22    1166     -1  
  20  34    1821     -1  
  24  40    4235     2   
  24  55    3071     -1  
  26  44    2121     -1  
  30  42    2637     0   
  34  47    1723     1   
  36  50    2863     -1  
  36  55    3572     -1  
  37  49    3498     -1  
  41  56    1632     2   
  41  62    2699     -1  
  44  54    1712     0   
  44  58    1779     -1  
  46  55    1244     -1  
  46  66    2548     -1  
  52  62    2636     1   
  52  66    1776     -1  
  54  62    680      -1  
End
