NMec = 2020
T = 14
P = 1
Profits not ignored
Best Profit = 15642
Best Assigned = -1986876928
Solution time = 2.249e-05
Task date  Profit    P
  14  16    789      0   
  25  42    2307     0   
  28  99    11432    -1  
  32  119   10636    -1  
  37  51    2689     -1  
  37  135   12513    -1  
  54  62    1120     0   
  65  68    533      0   
  70  72    203      0   
  85  101   1695     0   
  89  104   2639     -1  
  103 110   468      0   
  105 113   1868     -1  
  124 135   1553     0   
End
