NMec = 2020
T = 19
P = 4
Profits not ignored
Best Profit = 28041
Best Assigned = 1736415839
Solution time = 3.419e-03
Task date  Profit    P
  0   11    1798     0   
  0   11    1437     1   
  1   36    8575     2   
  2   14    1219     3   
  3   7     1286     -1  
  4   24    2651     -1  
  6   10    555      -1  
  6   18    1809     -1  
  9   33    4223     -1  
  10  20    1026     -1  
  12  30    3727     0   
  13  16    794      1   
  13  25    1174     -1  
  19  24    848      1   
  22  26    1140     3   
  30  33    420      1   
  33  45    1070     0   
  34  47    1624     1   
  37  45    1947     2   
End
