NMec = 2020
T = 32
P = 5
Profits not ignored
Best Profit = 36420
Best Assigned = 32713
Solution time = 1.507e+00
Task date  Profit    P
  0   61    6348     0   
  2   52    7112     1   
  8   33    3324     2   
  10  24    1991     3   
  10  29    4707     4   
  10  30    3430     -1  
  12  24    1667     -1  
  13  19    709      -1  
  13  29    1889     -1  
  15  28    2146     -1  
  16  19    575      -1  
  16  32    2713     -1  
  16  34    2435     -1  
  18  26    572      -1  
  20  47    4233     -1  
  24  60    2704     -1  
  27  41    1276     3   
  29  53    4889     -1  
  32  39    1355     4   
  32  50    2405     -1  
  39  50    1311     2   
  40  53    1530     4   
  43  49    691      3   
  46  57    2275     -1  
  46  60    1579     -1  
  46  62    2064     -1  
  48  50    341      -1  
  48  58    1170     -1  
  49  58    1914     -1  
  50  53    609      3   
  50  57    1115     -1  
  51  61    1245     2   
End
