NMec = 2020
T = 36
P = 5
Profits not ignored
Best Profit = 48923
Best Assigned = 32625
Solution time = 1.117e+02
Task date  Profit    P
  1   6     918      0   
  1   7     1459     1   
  3   16    1570     2   
  3   17    3192     3   
  4   38    2691     4   
  6   19    2222     -1  
  7   14    831      0   
  7   16    1769     -1  
  9   22    1766     1   
  10  24    2191     -1  
  11  30    2526     -1  
  21  28    1528     0   
  22  61    3768     2   
  23  36    2930     1   
  25  31    1785     3   
  25  65    8395     -1  
  26  42    3119     -1  
  26  44    2094     -1  
  30  38    1234     0   
  30  49    2018     -1  
  31  55    3336     -1  
  33  49    1265     3   
  37  43    733      1   
  38  53    2119     -1  
  40  46    753      0   
  42  53    1895     4   
  43  49    1436     -1  
  43  60    2073     -1  
  45  49    568      1   
  47  58    3191     0   
  49  57    1435     -1  
  50  63    2079     1   
  51  67    1385     3   
  56  69    2253     4   
  59  67    1139     0   
  66  71    567      1   
End
