NMec = 2020
T = 21
P = 4
Profits not ignored
Best Profit = 33744
Best Assigned = 32707
Solution time = 5.459e-03
Task date  Profit    P
  0   14    3113     0   
  2   24    3484     1   
  3   15    1233     2   
  5   42    8127     3   
  5   47    4241     -1  
  8   16    801      -1  
  10  37    4001     -1  
  12  22    1188     -1  
  14  34    5075     -1  
  16  22    1158     0   
  23  46    4884     0   
  24  29    501      2   
  25  32    954      1   
  27  45    5353     -1  
  29  42    1696     -1  
  34  39    665      1   
  34  42    2112     2   
  37  52    1773     -1  
  38  49    1094     -1  
  40  52    2025     1   
  45  48    525      2   
End
