NMec = 2020
T = 23
P = 5
Profits not ignored
Best Profit = 37447
Best Assigned = 572570160
Solution time = 1.254e-02
Task date  Profit    P
  0   18    4354     0   
  1   8     1459     1   
  2   44    6781     2   
  5   21    2447     3   
  7   22    4020     4   
  7   25    2954     -1  
  12  26    2015     1   
  12  44    8010     -1  
  13  16    465      -1  
  13  23    1220     -1  
  13  30    1357     -1  
  15  32    4417     -1  
  16  26    2004     -1  
  17  21    792      -1  
  17  30    3125     -1  
  20  33    2737     0   
  21  42    2260     -1  
  23  29    1234     3   
  23  41    4746     4   
  26  34    1048     -1  
  27  35    2087     1   
  31  34    575      3   
  33  41    923      -1  
End
