NMec = 2020
T = 23
P = 8
Profits not ignored
Best Profit = 37089
Best Assigned = 0
Solution time = 3.261e-02
Task date  Profit    P
  1   29    7793     0   
  2   12    1462     1   
  2   24    4793     2   
  2   26    5167     3   
  2   28    2915     4   
  3   27    3884     5   
  3   29    4547     6   
  5   18    1006     7   
  6   19    2284     -1  
  7   14    1408     -1  
  7   15    1348     -1  
  7   24    2253     -1  
  7   29    1545     -1  
  9   22    1405     -1  
  9   26    1648     -1  
  10  16    1742     -1  
  12  23    1345     -1  
  12  27    2003     -1  
  12  27    2461     -1  
  15  28    3451     1   
  16  22    732      -1  
  16  22    758      -1  
  22  28    793      7   
End
