NMec = 2020
T = 32
P = 3
Profits not ignored
Best Profit = 42569
Best Assigned = 195
Solution time = 1.886e+00
Task date  Profit    P
  1   25    1904     0   
  5   25    2652     1   
  6   14    2036     2   
  6   23    4031     -1  
  10  35    1975     -1  
  17  43    5604     2   
  20  34    2776     -1  
  20  37    2002     -1  
  22  34    1739     -1  
  28  46    2318     0   
  31  42    1468     1   
  39  51    2164     -1  
  49  62    3443     0   
  51  55    500      1   
  53  65    1633     2   
  55  70    1814     -1  
  55  95    6330     -1  
  56  74    1952     1   
  59  69    1509     -1  
  60  75    3739     -1  
  63  77    921      0   
  64  69    710      -1  
  71  85    3698     2   
  73  87    2116     -1  
  75  77    723      1   
  75  78    526      -1  
  77  99    2940     -1  
  84  100   1061     0   
  86  91    1161     1   
  86  97    1461     2   
  91  97    779      -1  
  99  103   819      1   
End
