NMec = 2020
T = 25
P = 7
Profits not ignored
Best Profit = 27026
Best Assigned = 0
Solution time = 1.214e-01
Task date  Profit    P
  0   7     750      0   
  0   20    2334     1   
  1   8     1185     2   
  1   31    2807     3   
  2   15    2221     4   
  3   18    1836     5   
  3   32    3145     6   
  5   15    1136     -1  
  5   28    2700     -1  
  8   22    2875     0   
  9   19    1040     2   
  11  23    1935     -1  
  11  26    1286     -1  
  12  31    2124     -1  
  13  24    2123     -1  
  13  24    1735     -1  
  15  27    2209     -1  
  18  22    457      4   
  19  29    1298     5   
  19  35    1896     -1  
  21  23    665      1   
  21  28    553      2   
  23  34    2371     0   
  25  31    643      1   
  26  33    877      4   
End
