NMec = 2020
T = 37
P = 5
Profits not ignored
Best Profit = 50770
Best Assigned = 408736064
Solution time = 7.932e+01
Task date  Profit    P
  0   6     1284     0   
  0   15    1274     1   
  2   13    1737     2   
  4   15    3117     3   
  7   17    1982     0   
  7   23    1334     4   
  8   73    6063     -1  
  9   11    341      -1  
  9   23    1642     -1  
  12  17    527      -1  
  13  19    1146     -1  
  13  31    2355     -1  
  14  28    2826     2   
  16  28    1786     1   
  16  48    4308     3   
  17  19    339      -1  
  17  19    331      -1  
  22  65    5215     0   
  23  36    2051     -1  
  24  32    962      4   
  24  39    1748     -1  
  25  46    3438     -1  
  27  36    2001     -1  
  28  43    2769     -1  
  29  45    3760     1   
  35  44    1402     2   
  35  46    1965     4   
  35  55    1168     -1  
  36  39    657      -1  
  37  52    3526     -1  
  38  47    2473     -1  
  39  49    1478     -1  
  40  59    5406     -1  
  42  43    508      -1  
  46  69    5553     1   
  56  66    2507     2   
  57  65    1634     3   
End
