NMec = 2020
T = 32
P = 4
Profits not ignored
Best Profit = 39377
Best Assigned = 0
Solution time = 3.421e+00
Task date  Profit    P
  1   79    7855     0   
  2   7     727      1   
  6   17    1980     2   
  7   18    2595     3   
  8   13    836      1   
  8   51    6739     -1  
  15  20    1269     1   
  15  22    1085     -1  
  19  26    982      2   
  19  44    3584     3   
  22  32    1351     1   
  23  31    777      -1  
  24  35    1013     -1  
  24  39    2162     -1  
  25  41    2365     -1  
  26  46    5069     -1  
  31  50    4357     2   
  33  56    2744     1   
  36  50    1501     -1  
  37  49    1760     -1  
  38  50    2211     -1  
  43  49    991      -1  
  43  63    2769     -1  
  44  48    556      -1  
  51  61    1120     2   
  53  54    204      3   
  53  61    1737     -1  
  54  68    2757     -1  
  54  72    2130     -1  
  56  68    1935     3   
  57  61    738      1   
  68  78    2315     1   
End
