NMec = 2020
T = 29
P = 8
Profits not ignored
Best Profit = 39777
Best Assigned = 0
Solution time = 1.612e+00
Task date  Profit    P
  1   7     671      0   
  1   36    3306     1   
  2   8     1218     2   
  2   8     443      3   
  2   12    1672     4   
  3   21    2656     5   
  3   36    3114     6   
  6   19    1255     7   
  7   21    1822     -1  
  7   26    1960     -1  
  8   35    4967     0   
  8   36    5585     -1  
  9   14    770      2   
  9   17    1128     3   
  9   22    3121     -1  
  12  15    281      -1  
  12  32    2700     -1  
  14  23    1340     4   
  14  31    5059     -1  
  14  33    2262     -1  
  14  34    1944     -1  
  15  19    1033     2   
  15  27    1010     -1  
  19  35    2113     3   
  19  35    4128     -1  
  20  36    2471     2   
  20  36    1820     7   
  25  29    281      4   
  27  33    1091     5   
End
