NMec = 2020
T = 14
P = 3
Profits not ignored
Best Profit = 18376
Best Assigned = 2042045536
Solution time = 1.548e-04
Task date  Profit    P
  0   22    2610     0   
  2   10    582      1   
  6   17    1600     2   
  13  17    982      1   
  15  36    3790     -1  
  17  36    5305     -1  
  18  25    1467     1   
  19  30    2208     2   
  19  38    4478     -1  
  21  27    554      -1  
  26  28    416      0   
  31  45    2275     0   
  33  36    657      1   
  37  44    946      1   
End
