NMec = 2020
T = 28
P = 6
Profits not ignored
Best Profit = 36155
Best Assigned = 483558592
Solution time = 5.329e-01
Task date  Profit    P
  0   46    5138     0   
  1   4     872      1   
  1   5     629      2   
  3   20    2361     3   
  4   15    1201     4   
  5   9     448      1   
  5   15    1412     5   
  7   21    2983     2   
  7   30    4127     -1  
  11  33    2034     1   
  12  34    3380     -1  
  15  37    2560     -1  
  16  31    2222     4   
  16  31    1897     5   
  17  26    1413     -1  
  18  31    2015     -1  
  19  31    1634     -1  
  20  27    1311     -1  
  20  41    1735     -1  
  27  33    1169     2   
  28  41    3386     3   
  28  42    1412     -1  
  30  45    3409     -1  
  31  35    473      -1  
  31  40    2250     -1  
  31  46    1088     -1  
  33  45    1315     4   
  34  44    2268     1   
End
