NMec = 2020
T = 24
P = 5
Profits not ignored
Best Profit = 35263
Best Assigned = 1151269313
Solution time = 2.345e-02
Task date  Profit    P
  0   23    2423     0   
  2   15    2922     1   
  3   7     843      2   
  4   29    5411     3   
  5   18    1528     4   
  6   25    3306     -1  
  6   28    2334     -1  
  10  31    5565     2   
  10  47    7489     -1  
  12  16    797      -1  
  14  31    2411     -1  
  16  38    4151     1   
  17  32    1872     -1  
  17  35    3962     -1  
  18  25    1522     -1  
  22  25    470      4   
  22  38    1791     -1  
  23  27    543      -1  
  25  32    1316     0   
  25  33    968      -1  
  26  41    1290     4   
  32  41    1836     2   
  33  40    1519     0   
  33  41    1788     3   
End
