NMec = 2020
T = 16
P = 5
Profits not ignored
Best Profit = 19231
Best Assigned = 1736415839
Solution time = 6.570e-04
Task date  Profit    P
  1   5     823      0   
  1   14    2786     1   
  2   13    2423     2   
  2   19    1664     3   
  3   15    1687     4   
  3   24    2391     -1  
  5   7     556      -1  
  6   10    830      0   
  6   24    2440     -1  
  6   24    2544     -1  
  8   18    997      -1  
  8   25    1452     -1  
  11  24    2981     0   
  14  25    1524     2   
  17  30    1936     1   
  20  30    1697     3   
End
