NMec = 2020
T = 21
P = 5
Profits not ignored
Best Profit = 23954
Best Assigned = -2005295840
Solution time = 6.947e-03
Task date  Profit    P
  0   19    3155     0   
  2   23    2755     1   
  3   14    2735     2   
  3   14    2358     3   
  4   13    2085     4   
  6   21    897      -1  
  7   32    4810     -1  
  9   19    1397     -1  
  12  34    3574     -1  
  12  36    2374     -1  
  13  19    745      -1  
  15  16    326      2   
  17  25    1916     2   
  17  32    1436     3   
  17  34    1655     4   
  18  34    1555     -1  
  19  26    1559     -1  
  21  22    503      0   
  23  37    1121     0   
  29  37    1467     1   
  34  37    264      2   
End
