NMec = 2020
T = 34
P = 5
Profits not ignored
Best Profit = 49982
Best Assigned = 32604
Solution time = 7.633e+00
Task date  Profit    P
  1   16    2867     0   
  1   63    9292     1   
  3   11    1252     2   
  3   54    7450     3   
  4   14    1015     4   
  5   17    1309     -1  
  6   30    3790     -1  
  9   21    989      -1  
  9   30    4582     -1  
  10  18    1264     -1  
  11  61    9801     -1  
  14  23    1329     2   
  16  27    1914     4   
  18  23    1647     0   
  18  34    4375     -1  
  20  41    1794     -1  
  21  35    1660     -1  
  22  27    1320     -1  
  22  42    1508     -1  
  26  46    2417     0   
  27  48    6269     2   
  28  66    5419     4   
  30  38    1647     -1  
  30  45    1366     -1  
  33  36    803      -1  
  35  41    592      -1  
  35  55    2171     -1  
  38  52    1415     -1  
  40  46    1346     -1  
  43  57    1973     -1  
  44  61    2145     -1  
  46  50    470      -1  
  54  66    2040     0   
  57  64    1626     2   
End
