NMec = 2020
T = 15
P = 5
Profits not ignored
Best Profit = 16488
Best Assigned = 1736415839
Solution time = 4.178e-04
Task date  Profit    P
  1   5     541      0   
  3   12    1805     1   
  4   9     488      2   
  4   19    1335     3   
  6   22    2687     0   
  6   29    2123     4   
  7   27    3303     -1  
  9   23    1728     -1  
  12  29    2659     2   
  15  25    1479     1   
  15  28    2174     -1  
  16  27    888      -1  
  17  25    755      -1  
  17  29    786      -1  
  23  29    708      0   
End
