NMec = 2020
T = 36
P = 2
Profits not ignored
Best Profit = 44884
Best Assigned = 0
Solution time = 5.641e+00
Task date  Profit    P
  1   23    4935     0   
  2   179   19979    1   
  4   11    1342     -1  
  7   15    1229     -1  
  9   13    809      -1  
  12  22    2339     -1  
  18  37    2119     -1  
  22  30    1522     -1  
  27  40    1305     0   
  33  43    1379     -1  
  34  35    167      -1  
  34  40    1134     -1  
  35  49    2017     -1  
  38  62    2094     -1  
  41  57    1445     0   
  56  70    2035     -1  
  66  67    442      0   
  69  78    1039     0   
  79  98    3430     0   
  83  88    1311     -1  
  86  114   4378     -1  
  87  172   7125     -1  
  88  102   2121     -1  
  92  100   1187     -1  
  100 107   1143     0   
  101 121   3677     -1  
  104 112   1399     -1  
  109 133   1999     0   
  114 126   2196     -1  
  128 150   5281     -1  
  141 148   2076     0   
  142 149   697      -1  
  145 146   331      -1  
  156 161   861      0   
  158 170   780      -1  
  160 175   3351     -1  
End
