NMec = 2020
T = 24
P = 6
Profits not ignored
Best Profit = 32051
Best Assigned = -997684760
Solution time = 3.547e-02
Task date  Profit    P
  0   12    2372     0   
  1   19    3118     1   
  4   12    572      2   
  4   23    4030     3   
  5   13    1791     4   
  5   23    1982     5   
  6   15    1356     -1  
  6   16    1032     -1  
  6   24    1524     -1  
  9   31    5298     -1  
  10  24    2798     -1  
  10  30    5653     -1  
  13  36    2801     0   
  15  30    1859     2   
  16  30    2042     4   
  18  29    1484     -1  
  18  32    3049     -1  
  19  24    520      -1  
  20  30    1324     1   
  21  37    1555     -1  
  23  38    2770     -1  
  23  38    2956     -1  
  31  34    637      1   
  35  38    250      1   
End
