NMec = 2020
T = 32
P = 7
Profits not ignored
Best Profit = 44644
Best Assigned = 0
Solution time = 7.181e+00
Task date  Profit    P
  1   45    5614     0   
  2   17    3191     1   
  2   19    2217     2   
  2   37    6006     3   
  3   25    2094     4   
  3   25    4434     5   
  4   23    3289     6   
  5   31    2989     -1  
  6   12    1087     -1  
  7   18    1409     -1  
  8   43    5210     -1  
  10  41    4126     -1  
  11  25    1650     -1  
  13  24    1184     -1  
  14  24    1964     -1  
  14  32    2669     -1  
  16  33    2816     -1  
  17  21    777      -1  
  18  43    2752     1   
  19  28    1412     -1  
  22  29    1469     2   
  24  38    2024     6   
  26  29    458      4   
  27  29    363      5   
  27  36    2441     -1  
  29  45    2337     -1  
  31  41    2438     2   
  32  40    2028     4   
  36  42    796      5   
  36  43    1243     -1  
  38  39    215      3   
  38  45    1885     -1  
End
