NMec = 98495
T = 25
P = 3
Profits not ignored
Solution time = 2.833e-03
Best Profit = 39829
Terminal Cases = 223842
Task date  Profit    P
  2   16    1076     0   
  3   20    4859     1   
  5   8     486      2   
  6   58    8439     -1  
  6   59    6072     -1  
  12  38    2552     2   
  17  83    15039    0   
  19  81    9545     -1  
  20  28    632      -1  
  23  41    3770     1   
  24  40    3464     -1  
  25  43    2253     -1  
  26  43    3288     -1  
  32  39    1987     -1  
  33  67    3717     -1  
  34  58    4763     -1  
  35  61    6182     -1  
  40  68    2657     2   
  41  59    1316     -1  
  43  65    2510     1   
  45  65    3719     -1  
  49  65    3242     -1  
  59  69    2919     -1  
  60  79    1789     -1  
  64  70    1315     -1  
End
