NMec = 98495
T = 35
P = 8
Profits not ignored
Solution time = 1.195e+02
Best Profit = 40770
Terminal Cases = 8350357628
Task date  Profit    P
  1   12    1704     0   
  1   20    2318     1   
  1   21    1373     2   
  2   6     959      3   
  4   10    573      4   
  6   19    1617     5   
  7   30    5138     3   
  8   12    587      6   
  9   11    297      7   
  10  16    1343     -1  
  10  32    2170     -1  
  11  27    1071     4   
  12  24    927      7   
  13  36    2512     0   
  15  23    1246     6   
  15  30    2968     -1  
  17  21    1203     -1  
  17  30    2369     -1  
  18  20    459      -1  
  20  32    1571     5   
  20  38    2285     -1  
  21  36    1609     1   
  22  35    2841     2   
  23  37    1191     -1  
  24  40    2191     6   
  25  34    618      7   
  25  35    2250     -1  
  25  42    1218     -1  
  27  33    1286     -1  
  27  34    2075     -1  
  27  39    2740     -1  
  27  43    2501     -1  
  31  43    2665     3   
  32  33    310      4   
  32  37    1341     -1  
End
