NMec = 98495
T = 15
P = 4
Profits not ignored
Solution time = 1.310e-04
Best Profit = 13524
Terminal Cases = 13644
Task date  Profit    P
  1   7     875      0   
  1   13    2084     1   
  1   14    1482     2   
  2   10    1377     3   
  3   7     967      -1  
  4   21    1032     -1  
  7   17    1905     -1  
  9   25    1474     0   
  10  28    1901     -1  
  11  13    523      3   
  12  20    988      -1  
  12  34    1937     -1  
  14  16    349      1   
  22  32    1126     1   
  27  36    1434     0   
End
