NMec = 98495
T = 16
P = 4
Profits not ignored
Solution time = 1.555e-04
Best Profit = 19807
Terminal Cases = 9620
Task date  Profit    P
  1   4     610      0   
  1   13    2051     1   
  1   34    4378     2   
  4   18    2348     3   
  4   19    998      -1  
  5   20    1196     0   
  6   19    1534     -1  
  10  24    1467     -1  
  11  23    3291     -1  
  11  24    1547     -1  
  14  32    5581     1   
  16  27    1668     -1  
  17  35    2252     -1  
  18  30    1502     -1  
  19  24    775      3   
  28  38    773      0   
End
