NMec = 98495
T = 34
P = 7
Profits not ignored
Solution time = 2.454e+01
Best Profit = 45678
Terminal Cases = 2015895005
Task date  Profit    P
  1   47    5088     0   
  2   22    2957     1   
  2   48    6263     2   
  3   19    2473     3   
  3   20    1325     4   
  3   38    6138     5   
  3   47    8979     6   
  4   16    1891     -1  
  5   16    1815     -1  
  5   24    2087     -1  
  6   15    1626     -1  
  10  15    1226     -1  
  10  23    2440     -1  
  10  28    2497     -1  
  10  30    1528     -1  
  11  37    3726     -1  
  12  29    2397     -1  
  14  20    1264     -1  
  14  22    1384     -1  
  16  30    2057     -1  
  19  25    680      -1  
  21  38    3065     3   
  22  28    769      4   
  25  27    333      1   
  25  29    840      -1  
  26  44    2469     -1  
  29  40    1262     1   
  31  35    822      4   
  32  42    1957     -1  
  32  48    1815     -1  
  33  47    2168     -1  
  36  45    733      4   
  39  46    1339     3   
  42  47    728      1   
End
