NMec = 98495
T = 31
P = 6
Profits not ignored
Solution time = 4.882e-01
Best Profit = 39692
Terminal Cases = 49412406
Task date  Profit    P
  2   39    7544     0   
  6   10    420      1   
  6   22    4317     2   
  7   25    2325     3   
  8   18    1735     4   
  9   24    1567     5   
  9   29    2367     -1  
  11  19    969      1   
  11  23    2264     -1  
  11  29    1526     -1  
  11  29    2502     -1  
  12  37    4276     -1  
  12  48    7828     -1  
  14  34    3735     -1  
  15  25    1072     -1  
  16  23    854      -1  
  16  28    1480     -1  
  17  31    1633     -1  
  18  28    2108     -1  
  19  27    2085     4   
  19  35    1924     -1  
  20  33    1083     1   
  23  41    4773     2   
  26  43    2034     3   
  26  48    2525     5   
  28  34    614      4   
  29  36    1733     -1  
  29  43    1842     -1  
  29  46    1698     -1  
  31  40    1032     -1  
  33  41    1505     -1  
End
