NMec = 98495
T = 35
P = 3
Profits not ignored
Solution time = 7.616e-01
Best Profit = 49091
Terminal Cases = 70498860
Task date  Profit    P
  4   13    1349     0   
  6   28    1927     1   
  6   79    7624     2   
  7   24    1460     -1  
  8   116   11112    -1  
  10  23    1518     -1  
  10  25    1665     -1  
  11  36    2871     -1  
  13  21    1128     -1  
  15  40    2453     0   
  15  111   25769    -1  
  18  69    5119     -1  
  20  31    1086     -1  
  25  32    1482     -1  
  28  36    1729     -1  
  29  46    3244     1   
  33  51    2576     -1  
  35  61    4258     -1  
  42  54    1298     0   
  44  60    3109     -1  
  48  51    300      1   
  48  80    2229     -1  
  51  59    1587     -1  
  51  74    2468     -1  
  55  80    1745     0   
  56  69    1409     1   
  58  73    1616     -1  
  59  74    1941     -1  
  70  83    1184     1   
  75  84    1082     -1  
  77  87    1176     -1  
  80  94    3222     2   
  83  91    1941     0   
  86  91    682      1   
  91  100   1207     -1  
End
