NMec = 98495
T = 22
P = 3
Profits not ignored
Solution time = 1.736e-03
Best Profit = 23423
Terminal Cases = 124060
Task date  Profit    P
  4   8     735      0   
  4   48    4381     1   
  12  23    1032     0   
  13  23    1049     2   
  13  28    4351     -1  
  17  63    4406     -1  
  18  34    2717     -1  
  18  46    7394     -1  
  20  35    2118     -1  
  24  34    1042     0   
  26  37    2148     2   
  28  31    361      -1  
  28  32    505      -1  
  28  48    2875     -1  
  32  45    1406     -1  
  36  62    3105     0   
  39  47    834      2   
  45  59    2266     -1  
  46  55    777      -1  
  46  57    2073     -1  
  47  55    595      -1  
  53  59    1642     1   
End
