NMec = 98495
T = 30
P = 2
Profits not ignored
Solution time = 1.237e-01
Best Profit = 32584
Terminal Cases = 13901703
Task date  Profit    P
  1   11    1119     0   
  8   20    1571     1   
  11  116   6671     -1  
  22  28    762      0   
  25  29    498      1   
  25  32    1168     -1  
  32  47    1665     0   
  32  58    3684     1   
  34  37    402      -1  
  38  50    2574     -1  
  41  53    1135     -1  
  43  48    1269     -1  
  44  50    930      -1  
  47  50    884      -1  
  49  63    3033     0   
  51  58    819      -1  
  52  63    2330     -1  
  52  69    2319     -1  
  61  68    1462     1   
  64  134   7783     0   
  69  79    1859     1   
  75  95    2322     -1  
  93  105   1247     1   
  95  103   1417     -1  
  104 109   519      -1  
  121 148   3276     1   
  123 128   622      -1  
  126 143   4927     -1  
  128 140   2533     -1  
  136 142   1007     0   
End
