NMec = 98495
T = 20
P = 4
Profits not ignored
Solution time = 1.888e-03
Best Profit = 30431
Terminal Cases = 193752
Task date  Profit    P
  0   49    5996     0   
  1   15    1206     1   
  1   29    3453     2   
  3   10    888      3   
  3   20    3319     -1  
  5   15    2208     -1  
  5   21    2671     -1  
  5   24    4562     -1  
  7   18    1418     -1  
  14  34    3273     3   
  16  27    1653     1   
  20  36    2029     -1  
  22  34    2029     -1  
  23  30    1838     -1  
  26  36    833      -1  
  27  49    6019     -1  
  31  37    1064     1   
  33  48    1624     2   
  36  45    1774     3   
  36  48    2223     -1  
End
