NMec = 98495
T = 38
P = 7
Profits not ignored
Solution time = 2.789e+02
Best Profit = 56884
Terminal Cases = 23305899004
Task date  Profit    P
  1   50    9451     0   
  2   7     778      1   
  2   20    2823     2   
  4   10    674      3   
  6   18    3087     4   
  6   33    4853     5   
  8   16    1797     1   
  8   21    1763     6   
  9   14    1569     -1  
  11  16    879      3   
  12  29    2112     -1  
  13  25    1988     -1  
  16  30    3420     -1  
  21  42    2284     1   
  22  31    1064     2   
  22  41    4054     3   
  22  43    2126     4   
  23  30    1945     6   
  23  36    2523     -1  
  23  41    1895     -1  
  24  30    1027     -1  
  24  36    1294     -1  
  25  40    1562     -1  
  26  39    2031     -1  
  26  47    4731     -1  
  26  49    4722     -1  
  28  37    798      -1  
  29  36    1501     -1  
  29  41    1908     -1  
  33  43    2990     2   
  34  37    1021     5   
  34  40    1178     6   
  36  47    2201     -1  
  38  44    1096     5   
  38  47    2376     -1  
  40  51    1491     -1  
  41  49    2383     6   
  47  54    1044     1   
End
