NMec = 98495
T = 15
P = 8
Profits not ignored
Solution time = 2.955e-04
Best Profit = 23343
Terminal Cases = 32400
Task date  Profit    P
  0   24    3763     0   
  2   12    1005     1   
  2   24    2299     2   
  4   12    1070     3   
  4   12    1073     4   
  4   15    1518     5   
  4   27    3679     6   
  6   8     514      7   
  7   16    1148     -1  
  9   19    1323     7   
  11  16    871      -1  
  13  26    3743     1   
  16  21    759      3   
  20  29    1118     4   
  21  27    1336     5   
End
