NMec = 98495
T = 30
P = 7
Profits not ignored
Solution time = 3.505e+00
Best Profit = 38828
Terminal Cases = 371571700
Task date  Profit    P
  1   10    1792     0   
  1   13    1039     1   
  2   32    4761     2   
  4   17    1132     3   
  4   17    2826     4   
  4   18    2029     5   
  4   19    2648     6   
  7   24    1945     -1  
  8   33    6090     -1  
  9   14    507      -1  
  10  19    920      -1  
  11  13    553      0   
  11  15    1077     -1  
  11  18    702      -1  
  12  30    2262     -1  
  13  35    2507     -1  
  17  19    542      0   
  17  21    771      1   
  17  23    717      -1  
  20  38    3656     0   
  21  28    1732     3   
  22  29    1115     1   
  22  36    1556     4   
  23  41    1373     5   
  25  33    799      6   
  25  42    3800     -1  
  26  42    2843     -1  
  28  38    823      -1  
  33  40    619      1   
  35  42    683      2   
End
